Date,High,Vol.,Low,Price,Chg. %,Open,
06/01/2019,1355.40,0.56K,1355.40,1355.40,0.33%,1355.40,
30/12/2018,1351.80,0.11K,1351.80,1351.00,0.20%,1351.80,
23/12/2018,1343.00,0.00K,1343.00,1348.30,1.90%,1343.00,
16/12/2018,1323.10,0.01K,1323.10,1323.10,1.23%,1323.10,
09/12/2018,1307.00,0.01K,1307.00,1307.00,-0.95%,1307.00,
02/12/2018,1313.90,0.03K,1309.50,1319.50,2.07%,1313.90,
25/11/2018,1289.70,0.00K,1289.70,1292.70,-0.26%,1289.70,
18/11/2018,1296.10,0.10K,1296.10,1296.10,0.09%,1296.10,
11/11/2018,1294.90,0.04K,1294.90,1294.90,0.99%,1294.90,
04/11/2018,1282.20,0.04K,1282.20,1282.20,-1.92%,1282.20,
28/10/2018,1296.70,0.01K,1291.10,1307.30,-0.18%,1296.70,
21/10/2018,1309.70,0.11K,1309.70,1309.70,0.45%,1309.70,
14/10/2018,1303.80,0.05K,1303.80,1303.80,0.58%,1303.80,
07/10/2018,1271.20,0.06K,1271.20,1296.30,1.26%,1271.20,
30/09/2018,1280.20,0.01K,1280.20,1280.20,0.91%,1280.20,
23/09/2018,1270.00,0.00K,1260.00,1268.70,-0.44%,1260.00,
16/09/2018,1274.30,0.07K,1274.30,1274.30,0.04%,1274.30,
09/09/2018,1271.00,0.02K,1269.50,1273.80,0.13%,1269.60,
02/09/2018,1271.90,0.01K,1266.10,1272.10,-0.44%,1266.10,
26/08/2018,1277.70,1.00K,1277.70,1277.70,-0.57%,1277.70,
19/08/2018,1280.20,0.01K,1266.00,1285.00,2.14%,1266.00,
12/08/2018,1273.40,0.05K,1265.80,1258.10,-2.82%,1273.40,
05/08/2018,1305.00,0.01K,1298.60,1294.60,-0.37%,1302.80,
29/07/2018,1309.10,0.02K,1288.80,1299.40,-0.73%,1306.90,
22/07/2018,1307.60,0.00K,1307.60,1309.00,-0.59%,1307.60,
15/07/2018,1320.00,0.11K,1302.00,1316.80,-0.92%,1320.00,
08/07/2018,1327.00,0.00K,1327.00,1329.00,-1.16%,1327.00,
01/07/2018,1344.60,0.08K,1344.60,1344.60,0.07%,1344.60,
24/06/2018,1353.70,0.00K,1353.70,1343.70,-1.32%,1353.70,
17/06/2018,1376.80,0.00K,1360.00,1361.70,-0.58%,1376.80,
10/06/2018,1369.70,0.99K,1369.70,1369.70,-1.80%,1369.70,
03/06/2018,1390.50,0.03K,1389.60,1394.80,0.34%,1389.60,
27/05/2018,1392.40,0.08K,1392.40,1390.10,-0.93%,1392.40,
20/05/2018,1403.20,0.11K,1403.20,1403.20,0.86%,1403.20,
13/05/2018,1405.30,0.00K,1405.30,1391.30,-2.05%,1405.30,
06/05/2018,1413.50,0.03K,1413.30,1420.40,0.40%,1413.50,
29/04/2018,1414.70,0.10K,1414.70,1414.70,-0.63%,1414.70,
22/04/2018,1423.60,0.01K,1423.60,1423.60,-1.02%,1423.60,
15/04/2018,1460.10,0.00K,1442.00,1438.20,-0.67%,1460.10,
08/04/2018,1447.90,0.61K,1447.90,1447.90,0.84%,1447.90,
01/04/2018,1435.90,2.68K,1435.90,1435.90,0.69%,1435.90,
25/03/2018,1426.00,64.89K,1426.00,1426.00,-1.99%,1426.00,
18/03/2018,1455.00,0.01K,1455.00,1455.00,2.73%,1455.00,
11/03/2018,1433.40,0.00K,1433.40,1416.30,-0.82%,1433.40,
04/03/2018,1428.00,0.21K,1428.00,1428.00,0.27%,1428.00,
25/02/2018,1424.20,1.01K,1424.20,1424.20,-0.34%,1424.20,
18/02/2018,1429.00,0.90K,1429.00,1429.00,-1.64%,1429.00,
Open:1429.00,Highest:2121.70,Lowest:1260.00,Chg. %:28.06%,
